reaction	minimum	maximum
ACALD	0.0	0.0
ACALDt	0.0	0.0
ACKr	0.0	0.0
ACONTa	6.00724958	6.00724958
ACONTb	6.00724958	6.00724958
ACt2r	0.0	0.0
ADK1	0.0	0.0
AKGDH	5.06437566	5.06437566
AKGt2r	0.0	0.0
ALCD2x	0.0	0.0
ATPM	8.39	8.39
ATPS4r	45.51400977	45.51400977
BIOMASS_Ecoli_core_w_GAM	0.87392151	0.87392151
CO2t	-22.80983331	-22.80983331
CS	6.00724958	6.00724958
CYTBD	43.59898531	43.59898531
D_LACt2	0.0	0.0
ENO	14.71613957	14.71613957
ETOHt2r	0.0	0.0
EX_ac_e	0.0	0.0
EX_acald_e	0.0	0.0
EX_akg_e	0.0	0.0
EX_co2_e	22.80983331	22.80983331
EX_etoh_e	0.0	0.0
EX_for_e	0.0	0.0
EX_fru_e	0.0	0.0
EX_fum_e	0.0	0.0
EX_glc__D_e	-10.0	-10.0
EX_gln__L_e	0.0	0.0
EX_glu__L_e	0.0	0.0
EX_h2o_e	29.17582714	29.17582714
EX_h_e	17.53086543	17.53086543
EX_lac__D_e	0.0	0.0
EX_mal__L_e	0.0	0.0
EX_nh4_e	-4.76531919	-4.76531919
EX_o2_e	-21.79949266	-21.79949266
EX_pi_e	-3.21489505	-3.21489505
EX_pyr_e	0.0	0.0
EX_succ_e	0.0	0.0
FBA	7.47738196	7.47738196
FBP	0.0	0.0
FORt	0.0	0.0
FORt2	0.0	0.0
FRD7	0.0	994.93562434
FRUpts2	0.0	0.0
FUM	5.06437566	5.06437566
FUMt2_2	0.0	0.0
G6PDH2r	4.95998494	4.95998494
GAPD	16.02352614	16.02352614
GLCpts	10.0	10.0
GLNS	0.22346173	0.22346173
GLNabc	0.0	0.0
GLUDy	-4.54185746	-4.54185746
GLUN	0.0	0.0
GLUSy	0.0	0.0
GLUt2r	0.0	0.0
GND	4.95998494	4.95998494
H2Ot	-29.17582714	-29.17582714
ICDHyr	6.00724958	6.00724958
ICL	0.0	0.0
LDH_D	0.0	0.0
MALS	0.0	0.0
MALt2_2	0.0	0.0
MDH	5.06437566	5.06437566
ME1	0.0	0.0
ME2	0.0	0.0
NADH16	38.53460965	38.53460965
NADTRHD	0.0	0.0
NH4t	4.76531919	4.76531919
O2t	21.79949266	21.79949266
PDH	9.2825326	9.2825326
PFK	7.47738196	7.47738196
PFL	0.0	0.0
PGI	4.86086115	4.86086115
PGK	-16.02352614	-16.02352614
PGL	4.95998494	4.95998494
PGM	-14.71613957	-14.71613957
PIt2r	3.21489505	3.21489505
PPC	2.50430947	2.50430947
PPCK	0.0	0.0
PPS	0.0	0.0
PTAr	0.0	0.0
PYK	1.75817744	1.75817744
PYRt2	0.0	0.0
RPE	2.67848185	2.67848185
RPI	-2.28150309	-2.28150309
SUCCt2_2	0.0	0.0
SUCCt3	0.0	0.0
SUCDi	5.06437566	1000.0
SUCOAS	-5.06437566	-5.06437566
TALA	1.49698376	1.49698376
THD2	0.0	0.0
TKT1	1.49698376	1.49698376
TKT2	1.18149809	1.18149809
TPI	7.47738196	7.47738196
