gene	value	status
b0002	0.9219480951	optimal
b0003	0.9219480951	optimal
b0004	0.9219480951	optimal
b0007	0.9219480951	optimal
b0008	0.9219480951	optimal
b0019	0.9219480951	optimal
b0025	0.0	optimal
b0029	0.9219480951	optimal
b0031	0.0	optimal
b0032	0.9219480951	optimal
b0033	0.9219480951	optimal
b0036	0.9219480951	optimal
b0038	0.9219480951	optimal
b0040	0.9219480951	optimal
b0048	0.0	optimal
b0049	0.9219480951	optimal
b0052	0.9219480951	optimal
b0061	0.9219480951	optimal
b0062	0.9219480951	optimal
b0063	0.9219480951	optimal
b0066	0.9219480951	optimal
b0067	0.9219480951	optimal
b0068	0.9219480951	optimal
b0071	0.0	optimal
b0072	0.0	optimal
b0073	0.0	optimal
b0074	0.0	optimal
b0077	0.9219480951	optimal
b0078	0.9219480951	optimal
b0085	0.0	optimal
b0086	0.0	optimal
b0087	0.0	optimal
b0088	0.0	optimal
b0090	0.0	optimal
b0091	0.0	optimal
b0092	0.9219480951	optimal
b0096	0.0	optimal
b0099	0.9219480951	optimal
b0104	0.9219480951	optimal
b0109	0.0	optimal
b0112	0.9219480951	optimal
b0114	0.8926572601	optimal
b0115	0.8926572601	optimal
b0116	0.8703815653	optimal
b0118	0.9219480951	optimal
b0120	0.0	optimal
b0121	0.0	optimal
b0124	0.9219480951	optimal
b0125	0.9219480951	optimal
b0126	0.9219480951	optimal
b0131	0.0	optimal
b0133	0.0	optimal
b0134	0.0	optimal
b0142	0.0	optimal
b0154	0.9219480951	optimal
b0158	0.9219480951	optimal
b0159	0.0	optimal
b0160	0.9219480951	optimal
b0166	0.0	optimal
b0171	0.9217375643	optimal
b0173	0.9219480951	optimal
b0174	0.9219480951	optimal
b0175	0.0	optimal
b0179	0.0	optimal
b0180	0.0	optimal
b0181	0.0	optimal
b0182	0.0	optimal
b0185	0.0	optimal
b0186	0.9219480951	optimal
b0197	0.9219480951	optimal
b0198	0.9219480951	optimal
b0199	0.9219480951	optimal
b0200	0.0	optimal
b0207	0.9219480951	optimal
b0212	0.9219480951	optimal
b0221	0.9219480951	optimal
b0222	0.0	optimal
b0238	0.9219480951	optimal
b0242	0.9210537902	optimal
b0243	0.9210537902	optimal
b0273	0.9219480951	optimal
b0312	0.9219480951	optimal
b0314	0.9219480951	optimal
b0323	0.9219480951	optimal
b0331	0.9219480951	optimal
b0333	0.9219480951	optimal
b0334	0.9219480951	optimal
b0335	0.9219480951	optimal
b0336	0.9219480951	optimal
b0337	0.9219480951	optimal
b0339	0.9219480951	optimal
b0340	0.9219480951	optimal
b0341	0.9219480951	optimal
b0343	0.9219480951	optimal
b0344	0.9219480951	optimal
b0347	0.9219480951	optimal
b0348	0.9219480951	optimal
b0349	0.9219480951	optimal
b0350	0.9219480951	optimal
b0351	0.9219480951	optimal
b0352	0.9219480951	optimal
b0353	0.9219480951	optimal
b0356	0.9219480951	optimal
b0365	0.9219480951	optimal
b0366	0.9219480951	optimal
b0367	0.9219480951	optimal
b0368	0.9219480951	optimal
b0369	0.9219480951	optimal
b0381	0.9219480951	optimal
b0386	0.0	optimal
b0388	0.9219480951	optimal
b0401	0.9219480951	optimal
b0403	0.9219480951	optimal
b0414	0.0	optimal
b0415	0.0	optimal
b0417	0.9219480951	optimal
b0418	0.9219480951	optimal
b0420	0.9219480951	optimal
b0421	0.9219480951	optimal
b0423	0.9219480951	optimal
b0425	0.9219480951	optimal
b0428	0.9219480951	optimal
b0429	0.873973291	optimal
b0430	0.873973291	optimal
b0431	0.873973291	optimal
b0432	0.873973291	optimal
b0451	0.0	optimal
b0469	0.9219480951	optimal
b0474	0.0	optimal
b0475	0.9219480951	optimal
b0477	0.9219480951	optimal
b0480	0.0	optimal
b0485	0.9219480951	optimal
b0505	0.9219480951	optimal
b0507	0.9219480951	optimal
b0508	0.9219480951	optimal
b0509	0.9219480951	optimal
b0511	0.9219480951	optimal
b0512	0.9219480951	optimal
b0514	0.9219480951	optimal
b0516	0.9219480951	optimal
b0521	0.9219480951	optimal
b0522	0.0	optimal
b0523	0.0	optimal
b0529	0.8958133491	optimal
b0576	0.9219480951	optimal
b0583	0.9219480951	optimal
b0586	0.9219480951	optimal
b0593	0.9219480951	optimal
b0594	0.9219480951	optimal
b0595	0.9219480951	optimal
b0596	0.9219480951	optimal
b0612	0.9219480951	optimal
b0615	0.9219480951	optimal
b0616	0.9219480951	optimal
b0617	0.9219480951	optimal
b0621	0.9219480951	optimal
b0638	0.9219480951	optimal
b0639	0.0	optimal
b0652	0.9219480951	optimal
b0653	0.9219480951	optimal
b0654	0.9219480951	optimal
b0655	0.9219480951	optimal
b0662	0.9219480951	optimal
b0674	0.9219480951	optimal
b0677	0.9219480951	optimal
b0678	0.9219480951	optimal
b0679	0.9219480951	optimal
b0688	0.9219480951	optimal
b0692	0.9219480951	optimal
b0693	0.9219480951	optimal
b0696	0.9219480951	optimal
b0697	0.9219480951	optimal
b0698	0.9219480951	optimal
b0720	0.0	optimal
b0721	0.8733015759	optimal
b0722	0.8733015759	optimal
b0723	0.8733015759	optimal
b0724	0.8733015759	optimal
b0726	0.906129052	optimal
b0727	0.906129052	optimal
b0728	0.9104503189	optimal
b0729	0.9104503189	optimal
b0733	0.9219480951	optimal
b0734	0.9219480951	optimal
b0750	0.0	optimal
b0751	0.9219480951	optimal
b0754	0.9219480951	optimal
b0755	0.9219480951	optimal
b0757	0.9219480951	optimal
b0758	0.9219480951	optimal
b0759	0.9219480951	optimal
b0774	0.9219480951	optimal
b0775	0.9219480951	optimal
b0776	0.9219480951	optimal
b0778	0.9219480951	optimal
b0809	0.9219480951	optimal
b0810	0.9219480951	optimal
b0811	0.9219480951	optimal
b0825	0.9219480951	optimal
b0828	0.9219480951	optimal
b0854	0.9219480951	optimal
b0855	0.9219480951	optimal
b0856	0.9219480951	optimal
b0857	0.9219480951	optimal
b0860	0.9219480951	optimal
b0861	0.9219480951	optimal
b0862	0.9219480951	optimal
b0864	0.9219480951	optimal
b0870	0.9219480951	optimal
b0871	0.9219480951	optimal
b0888	0.0	optimal
b0894	0.9219480951	optimal
b0895	0.9219480951	optimal
b0896	0.9219480951	optimal
b0902	0.9219480951	optimal
b0903	0.9219480951	optimal
b0904	0.9219480951	optimal
b0907	0.0	optimal
b0908	0.0	optimal
b0910	0.9190775764	optimal
b0915	0.0	optimal
b0918	0.0	optimal
b0928	0.0	optimal
b0931	0.9219480951	optimal
b0945	0.0	optimal
b0954	0.0	optimal
b0963	0.9219480951	optimal
b0972	0.9219480951	optimal
b0973	0.9219480951	optimal
b0974	0.9219480951	optimal
b0996	0.9219480951	optimal
b0997	0.9219480951	optimal
b1002	0.9219480951	optimal
b1006	0.9219480951	optimal
b1014	0.9219480951	optimal
b1015	0.9219480951	optimal
b1033	0.9219480951	optimal
b1054	0.0	optimal
b1062	0.0	optimal
b1091	0.9205805117	optimal
b1092	0.0	optimal
b1093	0.0	optimal
b1095	0.0	optimal
b1096	0.0	optimal
b1098	0.0	optimal
b1101	0.9219480951	optimal
b1109	0.9219480951	optimal
b1123	0.9219480951	optimal
b1124	0.9219480951	optimal
b1125	0.9219480951	optimal
b1126	0.9219480951	optimal
b1131	0.0	optimal
b1136	0.0	optimal
b1186	0.9219480951	optimal
b1189	0.9219480951	optimal
b1190	0.9219480951	optimal
b1197	0.9219480951	optimal
b1198	0.9219480951	optimal
b1199	0.9219480951	optimal
b1200	0.9219480951	optimal
b1207	0.0	optimal
b1208	0.9219480951	optimal
b1210	0.9219480951	optimal
b1215	0.0	optimal
b1216	0.9219480951	optimal
b1223	0.9219480951	optimal
b1224	0.9219480951	optimal
b1225	0.9219480951	optimal
b1226	0.9219480951	optimal
b1227	0.9219480951	optimal
b1232	0.9217166524	optimal
b1236	0.9219480951	optimal
b1238	0.9219480951	optimal
b1241	0.9219480951	optimal
b1249	0.0	optimal
b1260	0.0	optimal
b1261	0.0	optimal
b1262	0.0	optimal
b1263	0.0	optimal
b1264	0.0	optimal
b1270	0.9219480951	optimal
b1276	0.9219480951	optimal
b1277	0.0	optimal
b1278	0.9219480951	optimal
b1281	0.0	optimal
b1288	0.0	optimal
b1297	0.9219480951	optimal
b1300	0.9219480951	optimal
b1302	0.9219480951	optimal
b1363	0.9219480951	optimal
b1380	0.9219480951	optimal
b1385	0.9219480951	optimal
b1386	0.9219480951	optimal
b1398	0.9219480951	optimal
b1415	0.0	optimal
b1416	0.9219480951	optimal
b1417	0.9219480951	optimal
b1440	0.9219480951	optimal
b1441	0.9219480951	optimal
b1442	0.9219480951	optimal
b1443	0.9219480951	optimal
b1469	0.9219480951	optimal
b1474	0.9219480951	optimal
b1475	0.9219480951	optimal
b1476	0.9219480951	optimal
b1479	0.9219480951	optimal
b1492	0.9219480951	optimal
b1493	0.9219480951	optimal
b1519	0.9219480951	optimal
b1521	0.9219480951	optimal
b1524	0.9219480951	optimal
b1584	0.9219480951	optimal
b1602	0.9219480951	optimal
b1603	0.9219480951	optimal
b1605	0.9219480951	optimal
b1611	0.9219480951	optimal
b1612	0.9219480951	optimal
b1613	0.9219480951	optimal
b1621	0.9219480951	optimal
b1622	0.9219480951	optimal
b1623	0.9219480951	optimal
b1636	0.9219480951	optimal
b1638	0.9219480951	optimal
b1646	0.9219480951	optimal
b1651	0.9219480951	optimal
b1656	0.9219480951	optimal
b1662	0.0	optimal
b1676	0.9219480951	optimal
b1692	0.9219480951	optimal
b1693	0.0	optimal
b1702	0.9219480951	optimal
b1704	0.9219480951	optimal
b1709	0.9219480951	optimal
b1711	0.9219480951	optimal
b1723	0.9219480951	optimal
b1732	0.9219480951	optimal
b1740	0.0	optimal
b1744	0.9219480951	optimal
b1745	0.9219480951	optimal
b1746	0.9219480951	optimal
b1747	0.9219480951	optimal
b1748	0.9219480951	optimal
b1761	0.8529802578	optimal
b1764	0.9219480951	optimal
b1767	0.9219480951	optimal
b1768	0.9219480951	optimal
b1773	0.9219480951	optimal
b1779	0.9219480951	optimal
b1801	0.9219480951	optimal
b1805	0.9219480951	optimal
b1812	0.0	optimal
b1814	0.9219480951	optimal
b1817	0.9219480951	optimal
b1818	0.9219480951	optimal
b1819	0.9219480951	optimal
b1849	0.9219480951	optimal
b1850	0.9219480951	optimal
b1851	0.9219480951	optimal
b1852	0.901492768	optimal
b1854	0.9219480951	optimal
b1855	0.0	optimal
b1865	0.9219480951	optimal
b1872	0.9219480951	optimal
b1873	0.9219480951	optimal
b1896	0.9219480951	optimal
b1897	0.9219480951	optimal
b1898	0.9219480951	optimal
b1899	0.9219480951	optimal
b1900	0.9219480951	optimal
b1901	0.9219480951	optimal
b1907	0.9219480951	optimal
b1912	0.0	optimal
b1982	0.9219480951	optimal
b1991	0.9219480951	optimal
b1992	0.9219480951	optimal
b1993	0.9219480951	optimal
b2019	0.0	optimal
b2020	0.0	optimal
b2021	0.0	optimal
b2022	0.0	optimal
b2023	0.0	optimal
b2024	0.0	optimal
b2025	0.0	optimal
b2026	0.0	optimal
b2028	0.9219480951	optimal
b2029	0.901492768	optimal
b2036	0.9219480951	optimal
b2038	0.9219480951	optimal
b2039	0.9219480951	optimal
b2040	0.9219480951	optimal
b2041	0.9219480951	optimal
b2042	0.9219480951	optimal
b2045	0.9219480951	optimal
b2048	0.9219480951	optimal
b2049	0.9219480951	optimal
b2052	0.9219480951	optimal
b2053	0.9219480951	optimal
b2065	0.9219480951	optimal
b2066	0.9219480951	optimal
b2091	0.9219480951	optimal
b2092	0.9219480951	optimal
b2093	0.9219480951	optimal
b2094	0.9219480951	optimal
b2095	0.9219480951	optimal
b2096	0.9219480951	optimal
b2097	0.9219480951	optimal
b2103	0.9219480951	optimal
b2104	0.9219480951	optimal
b2128	0.9219480951	optimal
b2129	0.9219480951	optimal
b2130	0.9219480951	optimal
b2131	0.9219480951	optimal
b2132	0.9219480951	optimal
b2133	0.9219480951	optimal
b2143	0.9219480951	optimal
b2148	0.9219480951	optimal
b2149	0.9219480951	optimal
b2150	0.9219480951	optimal
b2153	0.0	optimal
b2156	0.9219480951	optimal
b2167	0.9219480951	optimal
b2168	0.9219480951	optimal
b2169	0.9219480951	optimal
b2210	0.9219480951	optimal
b2221	0.9219480951	optimal
b2222	0.9219480951	optimal
b2223	0.9219480951	optimal
b2224	0.9219480951	optimal
b2232	0.9219480951	optimal
b2234	0.9219480951	optimal
b2235	0.9219480951	optimal
b2239	0.9219480951	optimal
b2240	0.9219480951	optimal
b2241	0.9219480951	optimal
b2242	0.9219480951	optimal
b2243	0.9219480951	optimal
b2260	0.9219480951	optimal
b2261	0.9219480951	optimal
b2262	0.9219480951	optimal
b2264	0.9219480951	optimal
b2265	0.9219480951	optimal
b2276	0.6606358593	optimal
b2277	0.6606358593	optimal
b2278	0.6606358593	optimal
b2279	0.6606358593	optimal
b2280	0.6606358593	optimal
b2281	0.6606358593	optimal
b2282	0.6606358593	optimal
b2283	0.6606358593	optimal
b2284	0.6606358593	optimal
b2285	0.6606358593	optimal
b2286	0.6606358593	optimal
b2287	0.6606358593	optimal
b2288	0.6606358593	optimal
b2296	0.9219480951	optimal
b2297	0.9219480951	optimal
b2306	0.9219480951	optimal
b2307	0.9219480951	optimal
b2308	0.9219480951	optimal
b2309	0.9219480951	optimal
b2310	0.9219480951	optimal
b2311	0.9219480951	optimal
b2312	0.0	optimal
b2315	0.0	optimal
b2316	0.0	optimal
b2320	0.9219480951	optimal
b2323	0.0	optimal
b2329	0.0	optimal
b2344	0.9219480951	optimal
b2366	0.9219480951	optimal
b2378	0.9219480951	optimal
b2388	0.9219480951	optimal
b2393	0.9219480951	optimal
b2400	0.9219480951	optimal
b2406	0.9219480951	optimal
b2407	0.9219480951	optimal
b2411	0.9219480951	optimal
b2413	0.9219480951	optimal
b2414	0.9219480951	optimal
b2415	0.8989725271	optimal
b2416	0.8989725271	optimal
b2417	0.9219480951	optimal
