model	objective	reaction	status	minimum	maximum
e_coli_core	obj	ACALD	optimal	0.0	0.0
e_coli_core	obj	ACALDt	optimal	0.0	0.0
e_coli_core	obj	ACKr	optimal	0.0	0.0
e_coli_core	obj	ACONTa	optimal	6.00725	6.00725
e_coli_core	obj	ACONTb	optimal	6.00725	6.00725
e_coli_core	obj	ACt2r	optimal	0.0	0.0
e_coli_core	obj	ADK1	optimal	0.0	0.0
e_coli_core	obj	AKGDH	optimal	5.064376	5.064376
e_coli_core	obj	AKGt2r	optimal	0.0	0.0
e_coli_core	obj	ALCD2x	optimal	0.0	0.0
e_coli_core	obj	ATPM	optimal	8.39	8.39
e_coli_core	obj	ATPS4r	optimal	45.51401	45.51401
e_coli_core	obj	BIOMASS_Ecoli_core_w_GAM	optimal	0.873922	0.873922
e_coli_core	obj	CO2t	optimal	-22.809833	-22.809833
e_coli_core	obj	CS	optimal	6.00725	6.00725
e_coli_core	obj	CYTBD	optimal	43.598985	43.598985
e_coli_core	obj	D_LACt2	optimal	0.0	0.0
e_coli_core	obj	ENO	optimal	14.71614	14.71614
e_coli_core	obj	ETOHt2r	optimal	0.0	0.0
e_coli_core	obj	EX_ac_e	optimal	0.0	0.0
e_coli_core	obj	EX_acald_e	optimal	0.0	0.0
e_coli_core	obj	EX_akg_e	optimal	0.0	0.0
e_coli_core	obj	EX_co2_e	optimal	22.809833	22.809833
e_coli_core	obj	EX_etoh_e	optimal	0.0	0.0
e_coli_core	obj	EX_for_e	optimal	0.0	0.0
e_coli_core	obj	EX_fru_e	optimal	0.0	0.0
e_coli_core	obj	EX_fum_e	optimal	0.0	0.0
e_coli_core	obj	EX_glc__D_e	optimal	-10.0	-10.0
e_coli_core	obj	EX_gln__L_e	optimal	0.0	0.0
e_coli_core	obj	EX_glu__L_e	optimal	0.0	0.0
e_coli_core	obj	EX_h2o_e	optimal	29.175827	29.175827
e_coli_core	obj	EX_h_e	optimal	17.530865	17.530865
e_coli_core	obj	EX_lac__D_e	optimal	0.0	0.0
e_coli_core	obj	EX_mal__L_e	optimal	0.0	0.0
e_coli_core	obj	EX_nh4_e	optimal	-4.765319	-4.765319
e_coli_core	obj	EX_o2_e	optimal	-21.799493	-21.799493
e_coli_core	obj	EX_pi_e	optimal	-3.214895	-3.214895
e_coli_core	obj	EX_pyr_e	optimal	0.0	0.0
e_coli_core	obj	EX_succ_e	optimal	0.0	0.0
e_coli_core	obj	FBA	optimal	7.477382	7.477382
e_coli_core	obj	FBP	optimal	0.0	0.0
e_coli_core	obj	FORt	optimal	0.0	0.0
e_coli_core	obj	FORt2	optimal	0.0	0.0
e_coli_core	obj	FRD7	optimal	0.0	994.935624
e_coli_core	obj	FRUpts2	optimal	0.0	0.0
e_coli_core	obj	FUM	optimal	5.064376	5.064376
e_coli_core	obj	FUMt2_2	optimal	0.0	0.0
e_coli_core	obj	G6PDH2r	optimal	4.959985	4.959985
e_coli_core	obj	GAPD	optimal	16.023526	16.023526
e_coli_core	obj	GLCpts	optimal	10.0	10.0
e_coli_core	obj	GLNS	optimal	0.223462	0.223462
e_coli_core	obj	GLNabc	optimal	0.0	0.0
e_coli_core	obj	GLUDy	optimal	-4.541857	-4.541857
e_coli_core	obj	GLUN	optimal	0.0	0.0
e_coli_core	obj	GLUSy	optimal	0.0	0.0
e_coli_core	obj	GLUt2r	optimal	0.0	0.0
e_coli_core	obj	GND	optimal	4.959985	4.959985
e_coli_core	obj	H2Ot	optimal	-29.175827	-29.175827
e_coli_core	obj	ICDHyr	optimal	6.00725	6.00725
e_coli_core	obj	ICL	optimal	0.0	0.0
e_coli_core	obj	LDH_D	optimal	0.0	0.0
e_coli_core	obj	MALS	optimal	0.0	0.0
e_coli_core	obj	MALt2_2	optimal	0.0	0.0
e_coli_core	obj	MDH	optimal	5.064376	5.064376
e_coli_core	obj	ME1	optimal	0.0	0.0
e_coli_core	obj	ME2	optimal	0.0	0.0
e_coli_core	obj	NADH16	optimal	38.53461	38.53461
e_coli_core	obj	NADTRHD	optimal	0.0	0.0
e_coli_core	obj	NH4t	optimal	4.765319	4.765319
e_coli_core	obj	O2t	optimal	21.799493	21.799493
e_coli_core	obj	PDH	optimal	9.282533	9.282533
e_coli_core	obj	PFK	optimal	7.477382	7.477382
e_coli_core	obj	PFL	optimal	0.0	0.0
e_coli_core	obj	PGI	optimal	4.860861	4.860861
e_coli_core	obj	PGK	optimal	-16.023526	-16.023526
e_coli_core	obj	PGL	optimal	4.959985	4.959985
e_coli_core	obj	PGM	optimal	-14.71614	-14.71614
e_coli_core	obj	PIt2r	optimal	3.214895	3.214895
e_coli_core	obj	PPC	optimal	2.504309	2.504309
e_coli_core	obj	PPCK	optimal	0.0	0.0
e_coli_core	obj	PPS	optimal	0.0	0.0
e_coli_core	obj	PTAr	optimal	0.0	0.0
e_coli_core	obj	PYK	optimal	1.758177	1.758177
e_coli_core	obj	PYRt2	optimal	0.0	0.0
e_coli_core	obj	RPE	optimal	2.678482	2.678482
e_coli_core	obj	RPI	optimal	-2.281503	-2.281503
e_coli_core	obj	SUCCt2_2	optimal	0.0	0.0
e_coli_core	obj	SUCCt3	optimal	0.0	0.0
e_coli_core	obj	SUCDi	optimal	5.064376	1000.0
e_coli_core	obj	SUCOAS	optimal	-5.064376	-5.064376
e_coli_core	obj	TALA	optimal	1.496984	1.496984
e_coli_core	obj	THD2	optimal	0.0	0.0
e_coli_core	obj	TKT1	optimal	1.496984	1.496984
e_coli_core	obj	TKT2	optimal	1.181498	1.181498
e_coli_core	obj	TPI	optimal	7.477382	7.477382
