reaction	minimum	maximum
ACALD	0.0	0.0
ACALDt	0.0	0.0
ACKr	0.0	0.0
ACONTa	6.007249575350331	6.007249575350331
ACONTb	6.007249575350331	6.007249575350331
ACt2r	0.0	0.0
ADK1	0.0	0.0
AKGDH	5.06437566148209	5.06437566148209
AKGt2r	0.0	0.0
ALCD2x	0.0	0.0
ATPM	8.39	8.39
ATPS4r	45.51400977451744	45.51400977451744
BIOMASS_Ecoli_core_w_GAM	0.8739215069684302	0.8739215069684302
CO2t	-22.80983331020495	-22.80983331020495
CS	6.007249575350331	6.007249575350331
CYTBD	43.5989853119975	43.5989853119975
D_LACt2	0.0	0.0
ENO	14.716139568742829	14.716139568742829
ETOHt2r	0.0	0.0
EX_ac_e	0.0	9.689422104170517e-15
EX_acald_e	0.0	0.0
EX_akg_e	0.0	0.0
EX_co2_e	22.80983331020495	22.80983331020495
EX_etoh_e	0.0	0.0
EX_for_e	0.0	0.0
EX_fru_e	0.0	0.0
EX_fum_e	0.0	0.0
EX_glc__D_e	-10.0	-10.0
EX_gln__L_e	0.0	0.0
EX_glu__L_e	0.0	0.0
EX_h2o_e	29.175827135565786	29.175827135565786
EX_h_e	17.530865429786715	17.530865429786715
EX_lac__D_e	0.0	0.0
EX_mal__L_e	0.0	0.0
EX_nh4_e	-4.765319193197458	-4.765319193197458
EX_o2_e	-21.79949265599875	-21.79949265599875
EX_pi_e	-3.214895047684763	-3.214895047684763
EX_pyr_e	0.0	0.0
EX_succ_e	0.0	0.0
FBA	7.477381962160283	7.477381962160283
FBP	0.0	0.0
FORt	0.0	0.0
FORt2	0.0	0.0
FRD7	0.0	994.935624338518
FRUpts2	0.0	0.0
FUM	5.06437566148209	5.064375661482135
FUMt2_2	0.0	0.0
G6PDH2r	4.959984944574656	4.959984944574757
GAPD	16.0235261431676	16.02352614316764
GLCpts	10.0	10.0
GLNS	0.2234617293318276	0.22346172933187114
GLNabc	0.0	0.0
GLUDy	-4.541857463865631	-4.541857463865583
GLUN	0.0	0.0
GLUSy	0.0	0.0
GLUt2r	0.0	0.0
GND	4.959984944574656	4.959984944574656
H2Ot	-29.175827135565786	-29.175827135565786
ICDHyr	6.007249575350331	6.007249575350331
ICL	0.0	0.0
LDH_D	0.0	0.0
MALS	0.0	0.0
MALt2_2	0.0	0.0
MDH	5.06437566148209	5.06437566148209
ME1	0.0	0.0
ME2	0.0	0.0
NADH16	38.534609650515414	38.534609650515414
NADTRHD	0.0	0.0
NH4t	4.765319193197458	4.765319193197458
O2t	21.79949265599875	21.79949265599875
PDH	9.282532599166613	9.282532599166613
PFK	7.477381962160283	7.477381962160283
PFL	0.0	0.0
PGI	4.860861146496815	4.860861146496815
PGK	-16.0235261431676	-16.0235261431676
PGL	4.959984944574656	4.959984944574656
PGM	-14.716139568742829	-14.716139568742829
PIt2r	3.214895047684763	3.214895047684763
PPC	2.504309470368735	2.504309470368735
PPCK	0.0	0.0
PPS	0.0	0.0
PTAr	0.0	0.0
PYK	1.7581774441067821	1.7581774441067821
PYRt2	0.0	0.0
RPE	2.67848185050753	2.67848185050753
RPI	-2.2815030940671264	-2.2815030940671264
SUCCt2_2	0.0	0.0
SUCCt3	0.0	0.0
SUCDi	5.06437566148209	1000.0
SUCOAS	-5.06437566148209	-5.064375661481889
TALA	1.4969837572615665	1.4969837572616003
THD2	0.0	1.744095978750692e-13
TKT1	1.4969837572615665	1.4969837572616003
TKT2	1.1814980932459633	1.1814980932459969
TPI	7.477381962160283	7.477381962160318
